time_d,temperature_c,relative_humidity_pct
0.0,20.71,59.689
0.041685965724872626,20.74818,59.90535
0.08337193144974525,20.78637,60.1217
0.12505789717461788,20.82455,60.33805
0.1667438628994905,20.86274,60.5544
0.20842982862436313,20.90092,60.77075
0.25011579434923575,20.93911,60.9871
0.2918017600741084,20.97729,61.20345
0.333487725798981,21.01547,61.4198
0.3751736915238536,21.05366,61.63615
0.4168596572487262,21.09184,61.8525
0.4585456229735988,21.13003,62.06885
0.5002315886984714,21.16821,62.2852
0.541917554423344,21.2064,62.50155
0.5836035201482166,21.24458,62.7179
0.6252894858730892,21.28277,62.93425
0.6669754515979618,21.32095,63.1506
0.7086614173228344,21.35913,63.36695
0.750347383047707,21.39732,63.5833
0.7920333487725796,21.4355,63.79965
0.8337193144974522,21.47369,64.016
0.8754052802223248,21.51187,64.23235
0.9170912459471974,21.55006,64.4487
0.95877721167207,21.58824,64.66505
1.0004631773969426,21.62576,64.87856
1.0421491431218153,21.60383,64.83913
1.083835108846688,21.5819,64.79969
1.1255210745715607,21.55998,64.76026
1.1672070402964334,21.53805,64.72082
1.2088930060213061,21.51612,64.68139
1.2505789717461788,21.4942,64.64195
1.2922649374710515,21.47227,64.60252
1.3339509031959242,21.45034,64.56308
1.375636868920797,21.42842,64.52365
1.4173228346456697,21.40649,64.48421
1.4590088003705424,21.38456,64.44478
1.500694766095415,21.36263,64.40534
1.5423807318202878,21.34071,64.36591
1.5840666975451605,21.31878,64.32647
1.6257526632700332,21.29685,64.28704
1.667438628994906,21.27493,64.2476
1.7091245947197786,21.253,64.20817
1.7508105604446513,21.23107,64.16873
1.792496526169524,21.20915,64.1293
1.8341824918943967,21.18722,64.08986
1.8758684576192695,21.16529,64.05043
1.9175544233441422,21.14337,64.01099
1.9592403890690149,21.12144,63.97156
2.0009263547938874,21.09994,63.92683
2.04261232051876,21.09702,63.6492
2.084298286243633,21.0941,63.37157
2.1259842519685055,21.09118,63.09394
2.167670217693378,21.08826,62.81632
2.209356183418251,21.08535,62.53869
2.2510421491431236,21.08243,62.26106
2.2927281148679963,21.07951,61.98343
2.334414080592869,21.07659,61.7058
2.3761000463177417,21.07367,61.42817
2.4177860120426145,21.07075,61.15055
2.459471977767487,21.06784,60.87292
2.50115794349236,21.06492,60.59529
2.5428439092172326,21.062,60.31766
2.5845298749421053,21.05908,60.04003
2.626215840666978,21.05616,59.7624
2.6679018063918507,21.05325,59.48477
2.7095877721167234,21.05033,59.20715
2.751273737841596,21.04741,58.92952
2.792959703566469,21.04449,58.65189
2.8346456692913415,21.04157,58.37426
2.8763316350162142,21.03866,58.09663
