sigma1_kpa,n_points,time_column,a_param,k_param,r_squared
11.0,3,caking_time_20kpa_h,588.2829144875051,-0.630916578629965,0.9872056890125608
20.0,4,caking_time_20kpa_h,128.50922119711666,-0.5843042707908559,0.9605946695611185
